"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","original_name","CITY","COUNTY_AREA_NAME"
"127","IL","kickapoo township","14307200800000",72601,2020,4102,0,4102,0,0,0,0,0,0,0,0,0,0,0,990874,253266,737608,0,0,0,990874,"1600000US1739818","township of kickapoo","EDWARDS","PEORIA"
"128","IL","monee township","14309901300000",73081,2020,5078,0,242,0,4836,0,0,0,0,0,0,2893,9003,61055,1425467,301756,1196662,0,0,0,1498418,"1600000US1749958","township of monee","MONEE","WILL"
"129","IL","little rock township","14304700600000",72773,2020,178015,0,178015,0,0,0,0,75438,0,0,0,39208,0,0,1102086,80940,1060354,0,0,0,1141294,"1600000US1744043","township of little rock","PLANO","KENDALL"
"130","IL","limestone township","14307200900000",104931,2020,36000,0,36000,0,0,0,0,0,0,0,0,676575,10000,0,1921592,268370,2339797,0,0,0,2608167,"1600000US1743523","township of limestone","BARTONVILLE","PEORIA"
"131","IL","naperville township","14302200600000",73183,2020,0,0,0,0,0,0,856519,0,0,0,0,102844,29992,0,3864457,-95593,4092886,0,0,0,3997293,"1600000US1751635","township of naperville","NAPERVILLE","DUPAGE"
"132","IL","st. clair township","14308201700000",74061,2020,1171893,0,94255,0,0,212429,613490,0,204730,0,46989,1657525,0,148496,1921263,-732799,4460083,0,0,0,3727284,"1600000US1766729","township of st clair","SWANSEA","ST CLAIR"
"133","IL","worth township","14310201700000",104953,2020,0,0,0,0,0,0,0,0,0,0,0,291,0,0,1251247,195326,1056212,0,0,0,1251538,"1600000US1783544","township of worth","METAMORA","WOODFORD"
"134","CT","east hampton","07300400700000",43592,2020,74844736,43051987,4112486,28067,0,8494632,13236323,0,4337410,0,1430985,5074457,14160824,902980,39116684,1591947,57662998,0,0,0,59254945,"1600000US0922490","town of east hampton","EAST HAMPTON","MIDDLESEX"
"135","CT","east haven","07300500500000",32149,2020,0,0,0,0,0,0,37960518,0,107141745,0,0,3445652,33164366,1001266,66452582,-7752689,111816555,0,27945,0,104063866,"1600000US0922910","town of east haven","EAST HAVEN","NEW HAVEN"
"136","CT","coventry","07300700400000",32164,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US0917800","town of coventry","COVENTRY","TOLLAND"
"137","CT","brookfield","07300100200000",32111,2020,74091980,45018902,4671731,0,451702,7375957,2727315,1298347,12115971,0,905689,4822199,13288125,1423138,67353870,4816451,82070881,0,0,0,86887332,"1600000US0908980","town of brookfield","BROOKFIELD","FAIRFIELD"
"138","CT","east hartford","07300200700000",32123,2020,480984000,44420000,11719000,10784000,0,0,251943000,0,140674000,0,15180000,18188000,108198000,596000,147265000,-23963000,298210000,25484000,0,0,274247000,"1600000US0922630","town of east hartford","EAST HARTFORD","HARTFORD"
