"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","sumlev","state","county_code","place","cousub","concit","funcstat","state.name","population"
"150","AR","pulaski county","04106006000000",31653,2020,34622043,0,34622043,0,0,593464,0,0,0,0,3987290,0,0,0,0,0,0,0,0,0,0,50,5,119,0,0,0,"A","Arkansas",399246
"151","FL","osceola county","10104904900000",1266183,2020,1304908000,763838,51703000,35322000,0,19655,335287000,0,37792000,0,24369000,198859000,78445000,31529000,372701000,50037000,631497000,26837000,605000,0,681534000,50,12,97,0,0,0,"A","Florida",391118
"152","OH","butler county","36100900900000",46468,2020,359653610,44974952,27907569,0,24199737,0,128961846,1328480,89273318,0,10334899,99612086,72703782,33453831,152397499,34214909,323952289,0,0,0,358167198,50,39,17,0,0,0,"A","Ohio",390872
"153","AL","madison county","01104504500000",103480,2020,338193780,67461168,13765878,0,0,0,65314611,0,184271257,0,5939570,55280395,31804470,36267747,78998801,61615819,140735593,1166257815,4060090,0,1170317905,50,1,89,0,0,0,"A","Alabama",390502
"154","NJ","mercer county","31101101100000",47140,2020,1194836270,266001000,0,0,95278,163830061,255083294,0,324142570,0,0,0,0,0,380509665,10633453,369876211,0,0,0,380509665,50,34,21,0,0,0,"A","New Jersey",386441
"155","FL","lake county","10103503500000",196475,2020,438611170,112525801,36439075,0,0,527371,231057016,0,37048311,0,0,85486946,30656175,21516732,191492893,-3477499,332630245,0,0,0,329152746,50,12,69,0,0,0,"A","Florida",386194
"156","IN","allen county","15100200200000",33184,2020,106438654,17557329,14919691,0,0,0,32490684,0,15170826,0,4609204,26095365,46206218,1367647,150554799,28316220,195907809,0,0,0,224224029,50,18,3,0,0,0,"A","Indiana",386082
"157","OR","lane county","38102002000000",103185,2020,378330817,67041498,21956508,0,0,4240655,198496867,0,63424020,0,9442899,107416573,124773679,0,92657118,-14610106,339457476,22767928,1040404,0,324847370,50,41,39,0,0,0,"A","Oregon",383279
"158","NC","forsyth county","34103403400000",36556,2020,740725753,570102384,24480915,0,0,0,46149867,679188,66647741,0,8439750,35048354,51111206,408031,376297233,8876072,453988752,0,0,0,462864824,50,37,67,0,0,0,"A","North Carolina",383166
"159","FL","marion county","10104204200000",196480,2020,551034261,88445232,49187160,0,0,19346501,317040864,0,20909282,0,22261063,142771183,46730120,32948891,268451792,59263938,431638048,0,0,0,490901986,50,12,83,0,0,0,"A","Florida",377459
"160","FL","collier county","10101101100000",44027,2020,1224899629,349409000,112748463,8063564,234714000,70000,426770034,0,37737520,0,35987175,308273540,45572402,89441371,601531676,169792728,875026261,0,0,0,1044818989,50,12,21,0,0,0,"A","Florida",377293
"161","OH","stark county","36107607600000",84427,2020,315775491,18019997,21266377,0,58920216,0,121936372,0,79611118,449503,13334411,63807041,117897245,6946004,123231959,24352312,287529937,29251961,14370,1398121,311882249,50,39,151,0,0,0,"A","Ohio",374486
"162","PA","lehigh county","39103903900000",37719,2020,451643087,122003762,48617342,0,0,29107284,82611649,0,148605945,0,17212037,28611283,332081628,0,114501663,2772678,472421896,0,0,0,475194574,50,42,77,0,0,0,"A","Pennsylvania",374477
"163","TX","brazoria county","44102002000000",38616,2020,179779336,66759364,32487778,0,0,0,20461536,0,54179810,0,5953087,26584969,32034997,13083821,168394597,53826543,186271841,0,0,0,240098384,50,48,39,0,0,0,"A","Texas",373481
"164","TX","bell county","44101401400000",38614,2020,149480832,104405000,13828877,0,0,0,23498752,0,970393,0,0,24350642,7739156,620326,116889424,17544635,132054913,0,0,0,149599548,50,48,27,0,0,0,"A","Texas",372229
"165","MI","washtenaw county","23108108100000",34288,2020,255611336,20857526,48928961,6476564,0,16800000,109139163,0,33592171,0,19816951,34583238,140168346,0,139071629,47538141,266285072,2548277,360354,0,313823213,50,26,161,0,0,0,"A","Michigan",371817
"166","TN","hamilton county","43103303300000",229194,2020,407385343,290345000,33416393,0,0,0,4844203,2346915,22830434,0,17333863,50013185,30900412,815075,200780248,40666922,241841998,0,0,0,282508920,50,47,65,0,0,0,"A","Tennessee",367242
"167","VA","chesterfield county","47102102100000",230276,2020,1232112238,671083467,211280035,0,1753700,6545637,189567678,0,80242879,0,29548791,282035033,72649328,120474784,703164263,197527085,980796323,0,0,0,1178323408,50,51,41,0,0,0,"A","Virginia",365776
"168","MN","anoka county","24100200200000",34708,2020,312168921,99877100,26122918,2463480,1713610,0,100851687,0,61471739,0,13857044,44179992,116208909,22671844,240275162,92378173,330957734,0,0,0,423335907,50,27,3,0,0,0,"A","Minnesota",364458
"169","UT","davis county","45100600600000",39284,2020,127843790,61746764,16164370,69098,0,0,19023396,0,26093159,0,4747003,25970845,44983096,400184,158876390,49029357,181201158,3049300,10596,0,230230515,50,49,11,0,0,0,"A","Utah",363745
"170","CO","douglas county","06101801700000",31963,2020,75415483,5855000,60394586,0,0,0,0,0,0,0,9165897,61814471,83469719,25369065,264724793,31849455,403528593,0,0,0,435378048,50,8,35,0,0,0,"A","Colorado",360303
"171","CO","larimer county","06103503400000",31974,2020,138355526,6167778,27776147,0,0,0,0,0,0,0,19156353,71962012,94916420,7838317,220692038,82335916,313072871,0,0,0,395408787,50,8,69,0,0,0,"A","Colorado",359899
"172","PA","westmoreland county","39106506400000",43338,2020,232320245,83722884,49468741,1510484,0,0,57225177,0,26627192,0,661839,77759683,126016201,2631787,87458856,18374529,275491998,0,0,0,293866527,50,42,129,0,0,0,"A","Pennsylvania",354316
"173","SC","horry county","41102602600000",38265,2020,471394000,117654000,68297000,8092000,0,0,217400000,0,43650000,0,16301000,112495000,23826000,42562000,305810000,152932000,331761000,0,0,0,484693000,50,45,51,0,0,0,"A","South Carolina",353745
"174","TX","nueces county","44117817800000",38641,2020,222567723,157878625,34077473,3756835,0,0,22623801,0,0,0,2464800,86847745,8473372,556508,100280416,1338795,194819246,0,0,0,196158041,50,48,355,0,0,0,"A","Texas",353376
"175","TX","galveston county","44108408400000",38626,2020,565428917,274008576,17653935,0,0,0,14817230,0,252407229,1232615,6541947,24567291,32428354,0,158995399,-9711560,225702604,0,0,0,215991044,50,48,167,0,0,0,"A","Texas",351559
"176","IN","hamilton county","15102902900000",33195,2020,285013791,127247808,9355423,635726,0,0,27640222,293614,109754039,0,2759196,15919070,41083303,2169803,151525110,49857260,160840026,0,0,0,210697286,50,18,57,0,0,0,"A","Indiana",348966
"177","OR","marion county","38102402400000",103189,2020,256802975,0,16820757,0,0,349654,142395975,0,21345426,0,5452942,73397298,84731068,10726228,86821495,-6206510,261882599,0,0,0,255676089,50,41,47,0,0,0,"A","Oregon",346339
"178","NJ","somerset county","31101801800000",35636,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,34,35,0,0,0,"A","New Jersey",344725
"179","TN","rutherford county","43107507500000",197509,2020,549527235,439745000,8432119,0,2493728,0,0,11196692,0,0,6127119,104834447,11754587,3409254,154803179,55801832,218999635,0,0,0,274801467,50,47,149,0,0,0,"A","Tennessee",343266
"180","NY","rockland county","33104403900000",36003,2020,2019873768,601557511,179037565,0,19513683,55000000,124197386,0,989078418,0,21450464,47200704,135863076,18417180,393499259,-4462593,599442812,0,0,0,594980219,50,36,87,0,0,0,"A","New York",337394
"181","NC","cumberland county","34102602600000",36538,2020,392166578,63226827,28768162,0,0,798275,36211480,558205,216044289,0,7120935,22143082,59771375,4344865,305220142,48436629,343042835,0,0,0,391479464,50,37,51,0,0,0,"A","North Carolina",334391
"182","VA","henrico county","47104404400000",230338,2020,1585579456,970010689,164268995,88129894,0,0,202467470,0,69602143,0,28117780,169835685,178549813,7026794,749568208,82985240,1021995260,126007966,20476506,7026794,1104980500,50,51,87,0,0,0,"A","Virginia",334344
"183","MD","howard county","21101401300000",33965,2020,2758224249,1600257000,173405497,27708860,12529873,0,158265132,0,430354623,0,31131974,215209312,96390909,29629970,1382028903,171138837,1552120257,0,0,0,1723259094,50,24,27,0,0,0,"A","Maryland",332786
"184","CO","weld county","06106206100000",31990,2020,59365268,0,45271838,0,0,0,6582519,6274442,786799,0,6724112,79380149,50780844,0,257896023,94311391,293745625,10740855,547462,0,388057016,50,8,123,0,0,0,"A","Colorado",331427
