"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","population","city_place"
"5767","NY","floral park","33203001200000",122210,2020,89841407,5880000,514754,0,0,6086000,11681516,0,58353588,0,5446556,3351287,9665,5295,27162853,-4558161,35087261,0,0,0,30529100,"1600000US3626264",16172,"Floral Park village"
"5768","NJ","ramsey","31200204600000",155826,2020,71027368,0,0,0,811111,22535450,25236116,0,0,0,0,0,0,0,107449101,3289438,104159663,0,0,0,107449101,"1600000US3461680",14798,"Ramsey borough"
"5769","TX","fate","44219900100000",88165,2020,18990208,15215413,2332951,0,0,925000,0,39546,55666,0,461178,21458944,744597,15021316,6598852,21225796,22597913,9878457,4271820,6427026,43823709,"1600000US4825572",17958,"Fate city"
"5770","NY","rockville centre","33203005000000",82357,2020,256125249,58152614,10018507,0,0,0,23237637,0,149463968,0,12835121,38193550,3514150,660844,34791051,-5817052,82976647,0,0,0,77159595,"1600000US3663264",26016,"Rockville Centre village"
"5771","NJ","wildwood crest borough","31200501100000",121593,2020,54727532,0,0,0,0,0,12384997,0,8770891,0,0,0,0,0,42926733,3215655,39711078,0,0,0,42926733,"1600000US3481200",3101,"Wildwood Crest borough"
"5772","SC","cayce","41203200200000",128154,2020,94259278,0,6561854,0,61359757,0,20846839,0,3408979,0,622021,20690873,292158,1887405,12016596,872327,34014705,0,0,0,34887032,"1600000US4512655",13781,"Cayce city"
"5773","NJ","river edge borough","31200205000000",155830,2020,30492686,11005000,0,0,0,0,16259620,0,0,0,474763,0,0,0,56509105,1596500,54912604,0,0,0,56509105,"1600000US3463360",12049,"River Edge borough"
"5774","TX","greenville","44211600600000",88193,2020,108727495,79065575,4222110,481505,0,0,18686930,0,1558516,0,4712859,22917827,505392,193234,44780842,14681098,53716197,0,0,0,68397295,"1600000US4830920",28164,"Greenville city"
"5775","NY","garden city","33203001500000",122212,2020,316706103,44876451,11128067,0,0,36747594,23748116,0,187966807,0,8573835,12726197,47856,1325113,55565057,-10759108,80423331,0,0,0,69664223,"1600000US3628178",23272,"Garden City village"
"5776","NJ","ventnor","31200101700000",121495,2020,105029597,33412439,0,0,1117143,14929000,37500784,0,0,0,2534247,0,0,0,67918370,3589851,64328519,0,0,0,67918370,"1600000US3475620",9210,"Ventnor City city"
"5777","SC","bluffton","41200700200000",128054,2020,32961851,10109165,4579462,840119,0,0,16412481,0,0,0,1020624,13061709,338115,1163819,14483610,4583629,24463624,0,0,0,29047253,"1600000US4507210",27716,"Bluffton town"
"5778","SC","greer","41202300300000",1266080,2020,56869762,28791700,5220166,0,0,0,21728489,0,0,0,1039407,5710332,432434,3138173,29652871,7212379,31721431,4300870,2538,0,38933810,"1600000US4530985",35308,"Greer city"
"5779","SC","hilton head island","41200760100000",46525,2020,183125791,150677438,10419660,0,0,0,16690570,0,0,0,5288294,32403077,820896,890000,50984696,19756489,65342180,4928623,86566,0,85098669,"1600000US4534045",37661,"Hilton Head Island town"
"5780","SC","lexington","41203200700000",128158,2020,118623814,88365636,5692435,0,0,0,21476772,0,882333,0,1228735,23275513,598825,9499369,14215548,10539847,37049408,0,0,0,47589255,"1600000US4541335",23568,"Lexington town"
"5781","PA","philadelphia","39205100100000",42714,2020,19141711000,8953168000,1937322000,0,0,220009000,6095885000,0,1935327000,0,0,1542631000,2337887000,79201000,4717976000,-34593000,8712288000,0,0,0,8677695000,"1600000US4260000",1603797,"Philadelphia city"
