"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","name_census","state.name","population"
"4867","NC","elizabethtown","34200900400000",42842,2021,7719839,0,996678,0,0,1930111,1782196,0,0,0,176617,3255905,181960,2676176,3087734,782216,8419559,0,0,0,9201775,"3720600","town of elizabethtown",162,"37","000","20600","00000",0,"A","elizabethtown town","North Carolina",3307
"4868","NC","garland","34208200300000",59111,2021,348563,0,106875,0,22951,178066,32518,0,0,0,8153,437342,98069,916797,476701,1156388,772521,0,0,0,1928909,"3725460","town of garland",162,"37","000","25460","00000",0,"A","garland town","North Carolina",594
"4869","NE","grand island","28204000400000",35446,2021,148405764,109968836,18712670,2528040,0,3400583,656788,0,2395420,0,5169596,170477880,5117221,13757975,54278687,41159132,202472631,0,0,0,243631763,"3119595","city of grand island",162,"31","000","19595","00000",0,"A","grand island city","Nebraska",53130
"4870","CT","norwich","07200600500000",32109,2021,273031000,48500000,45219000,394000,0,27038000,103431000,0,32718000,0,8726000,97495000,70689000,4445000,96952000,12831000,256750000,0,0,0,269581000,"0956200","city of norwich",162,"09","000","56200","00000",0,"A","norwich city","Connecticut",40129
"4871","FL","oakland park","10200601000000",68804,2021,117823117,68238226,22385281,1117880,11113084,3500440,8747841,0,1225422,0,1494943,45104150,2558489,3389216,40103875,13563495,77592235,0,0,0,91155730,"1250575","city of oakland park",162,"12","000","50575","00000",0,"A","oakland park city","Florida",44221
"4872","IL","dixon","14205200400000",71816,2021,39479762,0,1027836,0,7995466,0,23023937,0,6825858,0,536665,9276984,1232749,1214681,13458480,3635661,21547233,0,0,0,25182894,"1720162","city of dixon",162,"17","000","20162","00000",0,"A","dixon city","Illinois",15290
"4873","GA","albany","11204700100000",32473,2021,208566298,4255000,36470239,12725000,0,17213713,77633891,0,40016829,0,6130916,175276623,22449635,28853430,43135566,26880692,242834562,0,0,0,269715254,"1301052","city of albany",162,"13","000","01052","00000",0,"A","albany city","Georgia",69652
"4874","IA","bloomfield","16202600100000",96562,2021,0,5347382,0,0,0,6985348,1001935,0,0,0,200274,6519730,493125,149369,8862567,-741683,16766474,0,0,0,16024791,"1907030","city of bloomfield",162,"19","000","07030","00000",0,"A","bloomfield city","Iowa",2681
"4875","IA","onawa","16206700500000",113945,2021,4672805,2770827,606549,0,0,0,846150,0,0,0,122983,4800759,552042,0,2839254,156741,8035314,0,0,0,8192055,"1959115","city of onawa",162,"19","000","59115","00000",0,"A","onawa city","Iowa",2909
"4876","CA","south lake tahoe","05200970100000",31755,2021,103375824,20750623,8560069,3539938,345733,0,55714977,0,0,0,0,10309245,3086867,5816648,54884530,18063781,56033509,0,0,0,74097290,"0673108","city of south lake tahoe",162,"06","000","73108","00000",0,"A","south lake tahoe city","California",21336
"4877","FL","miami shores","10201301500000",1063398,2021,16935663,4003900,1974116,0,0,3700000,5749368,0,571561,0,936718,9380069,739700,0,16754447,4744101,22130115,0,0,0,26874216,"1245175","city of miami shores",162,"12","000","45175","00000",0,"A","miami shores village","Florida",11565
"4878","MA","plymouth","22301201900000",34113,2021,1357883125,235613847,18918939,0,0,71150,159372536,0,941188653,0,2318000,36573912,84134130,11527523,214576784,-48914980,395727329,0,0,0,346812349,"2554310","town of plymouth",61,"25","023",NA,"54310",0,"A","plymouth town","Massachusetts",61214
"4879","MA","cambridge","22200900100000",34020,2021,1731783029,524119158,105052534,0,0,2842916,125468822,0,930119999,0,24756000,154100731,34400275,3499683,649224209,15821868,825403030,0,0,0,841224898,"2511000","city of cambridge",162,"25","000","11000","00000",0,"A","cambridge city","Massachusetts",118395
"4880","IA","stanton","16206900500000",113957,2021,0,0,0,0,108000,982000,146559,0,0,0,5720,961034,324136,0,337033,153698,1468505,0,0,0,1622203,"1975000","city of stanton",162,"19","000","75000","00000",0,"A","stanton city","Iowa",676
"4881","IA","van meter","16202501200000",113584,2021,0,520000,0,0,0,0,263052,0,0,0,8100,925716,335173,0,1057145,198439,2119595,0,0,0,2318034,"1980445","city of van meter",162,"19","000","80445","00000",0,"A","van meter city","Iowa",1485
"4882","IA","lake mills","16209500300000",114193,2021,0,0,0,0,0,180000,818794,0,0,0,318425,3619479,419575,0,2722209,-1420606,8181869,0,0,0,6761263,"1942555","city of lake mills",162,"19","000","42555","00000",0,"A","lake mills city","Iowa",2141
"4883","IA","west liberty","16207000600000",113963,2021,0,7065000,0,197497,406761,7167000,1261069,0,0,0,92579,8944865,998607,28775,2361777,852618,11481406,0,0,0,12334024,"1984315","city of west liberty",162,"19","000","84315","00000",0,"A","west liberty city","Iowa",3859
"4884","CO","salida","06200800300000",103848,2021,16243007,11125337,1595313,1149911,647628,0,1281925,549505,0,0,442893,4656426,1651206,3017587,13483699,4281399,18527519,0,0,0,22808918,"0867280","city of salida",162,"08","000","67280","00000",0,"A","salida city","Colorado",5661
"4885","IL","ashley","14209500200000",71219,2021,142512,115000,20842,0,6670,0,0,0,0,0,0,217961,17662,0,252629,105026,383226,0,0,0,488252,"1702531","city of ashley",162,"17","000","02531","00000",0,"A","ashley city","Illinois",460
"4886","MO","joplin","26204900800000",35134,2021,63845287,24121329,18379326,0,0,0,16581997,12457848,1520492,0,2060841,28620557,5280797,13581692,67011616,30682523,83812139,0,0,0,114494662,"2937592","city of joplin",162,"29","000","37592","00000",0,"A","joplin city","Missouri",51765
"4887","NY","yorktown","33306001800000",36091,2021,123407072,12655000,7284288,0,0,1982250,3365089,0,95072170,0,1203036,15408612,3942941,138,45149624,3083590,61417725,0,0,0,64501315,"3684077","town of yorktown",61,"36","119",NA,"84077",0,"A","yorktown town","New York",36563
"4888","NY","ilion","33202200500000",36033,2021,14993384,6241475,2111673,0,4139580,0,1149381,0,0,0,1223979,6609385,20823,4051108,5954424,-1254340,17890080,0,0,0,16635740,"3637275","village of ilion",162,"36","000","37275","00000",0,"A","ilion village","New York",7689
"4889","IL","aux sable township","14303200100000",92097,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647544,-92218,739762,0,0,0,647544,"1703090","township of aux sable",61,"17","063",NA,"03090",0,"A","aux sable township","Illinois",15360
"4890","IL","blue mound township","14305800200000",112284,2021,0,0,0,0,44865,0,0,0,0,0,0,0,0,0,189922,54431,135491,0,0,0,189922,"1706769","township of blue mound",61,"17","115",NA,"06769",0,"A","blue mound township","Illinois",813
"4891","IL","capital township","14308400400000",71510,2021,684319,0,22045,0,0,0,591727,0,0,0,70547,12305,0,0,1666344,576024,1102625,0,0,0,1678649,"1711046","township of capital",61,"17","167",NA,"11046",0,"A","capital township","Illinois",112572
"4892","IL","carroll township","14309200300000",92172,2021,8854,0,0,8854,0,0,4013,0,0,0,0,0,0,0,199541,21669,177872,0,0,0,199541,"1711449","township of carroll",61,"17","183",NA,"11449",0,"A","carroll township","Illinois",509
"4893","IL","butler grove township","14306800300000",92161,2021,1656,0,1656,0,0,0,0,0,0,0,0,0,0,0,343516,85932,257584,0,0,0,343516,"1710175","township of butler grove",61,"17","135",NA,"10175",0,"A","butler grove township","Illinois",736
"4894","IL","cherry valley township","14310100200000",71599,2021,37141,0,22225,0,0,0,0,429004,0,0,14916,0,272173,0,1296256,245462,1322967,0,0,0,1568429,"1713087","township of cherry valley",61,"17","201",NA,"13087",0,"A","cherry valley township","Illinois",19366
"4895","MA","westport","22300301600000",34049,2021,127961361,63360397,9981139,315094,0,4006057,27352108,0,22635982,0,310584,4803475,16368174,15374686,37662710,14972045,59237000,0,0,0,74209045,"2577570","town of westport",61,"25","005",NA,"77570",0,"A","westport town","Massachusetts",16343
"4896","IA","treynor","16207801100000",114035,2021,0,555000,0,0,0,0,194340,0,0,0,0,389596,169404,103935,613937,-224758,1501630,0,0,0,1276872,"1978825","city of treynor",162,"19","000","78825","00000",0,"A","treynor city","Iowa",1034
"4897","MA","fitchburg","22201400100000",34034,2021,442490536,92477171,21290699,389078,0,2706071,128042126,0,193479222,0,4106169,36594983,96229588,7978120,74356420,6605040,208554071,0,0,0,215159111,"2523875","city of fitchburg",162,"25","000","23875","00000",0,"A","fitchburg city","Massachusetts",41945
"4898","OH","columbus","36202500300000",44337,2021,6954370000,4884373000,347319000,0,0,54612000,1356638000,0,160591000,40802000,123252000,815964000,243564000,94670000,1245808000,563663000,1836343000,0,0,0,2400006000,"3918000","city of columbus",162,"39","000","18000","00000",0,"A","columbus city","Ohio",905839
"4899","MA","belchertown","22300800200000",34065,2021,91437410,6282282,4209709,439914,0,1847500,23938719,0,53977076,0,742210,4876783,27559848,669766,35151806,-1119453,69377656,0,0,0,68258203,"2504825","town of belchertown",61,"25","015",NA,"04825",0,"A","belchertown town","Massachusetts",15347
"4900","IL","creal springs","14210000600000",71717,2021,310391,235000,38315,0,37076,0,0,0,0,0,0,275963,0,0,350758,27766,598955,0,0,0,626721,"1717289","city of creal springs",162,"17","000","17289","00000",0,"A","creal springs city","Illinois",506
"4901","IL","collinsville township","14306000400000",71670,2021,505451,0,379380,0,0,0,0,1649064,0,0,126071,17412,35463,51462,3427434,341305,3190466,0,0,0,3531771,"1715612","township of collinsville",61,"17","119",NA,"15612",0,"A","collinsville township","Illinois",35636
"4902","IL","danville","14209200500000",189339,2021,134158326,3020023,2478906,0,0,471612,118726092,1416342,7766933,0,1694760,24089620,6198766,3757907,40885172,44643079,30288386,0,0,0,74931465,"1718563","city of danville",162,"17","000","18563","00000",0,"A","danville city","Illinois",29207
"4903","OK","anadarko","37200800100000",125510,2021,9725759,0,143105,0,0,9146000,4520037,0,0,0,0,9450404,74000,828738,3641598,1478205,12516535,0,0,0,13994740,"4002050","city of anadarko",162,"40","000","02050","00000",0,"A","anadarko city","Oklahoma",5742
"4904","OH","arcanum","36201900200000",58631,2021,0,5900200,0,0,4837693,0,0,0,0,0,0,0,0,0,1729983,510553,1219430,0,0,0,1729983,"3902330","village of arcanum",162,"39","000","02330","00000",0,"A","arcanum village","Ohio",2351
"4905","OK","oilton","37201900800000",125575,2021,2399307,5981,137189,0,0,1844764,0,18895,0,0,0,835410,82986,20350,147094,-167899,1253739,731273,249635,0,1085840,"4054000","city of oilton",162,"40","000","54000","00000",0,"A","oilton city","Oklahoma",882
"4906","OK","alva","37207600100000",126006,2021,5408620,0,2238,91921,0,5059412,0,0,0,0,0,4642251,586965,272191,5053621,1375864,9179164,3848222,4657,0,10555028,"4001800","city of alva",162,"40","000","01800","00000",0,"A","alva city","Oklahoma",5020
"4907","OK","enid","37202400500000",43976,2021,211358052,0,21639232,1746698,0,149717581,26759258,0,2413993,0,2625582,46067244,7506776,142720,51308827,18799283,86226284,0,0,0,105025567,"4023950","city of enid",162,"40","000","23950","00000",0,"A","enid city","Oklahoma",51294
