"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","name_midfile","geo_id","population","urban_pop","pct_urban_pop"
"35","AK","alaska",31574,2021,16726973000,1374829000,8741798000,211165000,0,3859000,5089994000,20031000,3405000,548581000,203580000,1789873000,4904678000,831826000,20941062000,16150304000,12317135000,121978000,614000,58343000,28467439000,NA,"02",733378,475967,64.899487449396
"36","MA","massachusetts",149462,2021,131059556000,45393477000,14272168000,22984000,0,0,47141778000,0,19694477000,0,984935000,16895110000,41157556000,252110000,36018716000,-858033000,95181525000,1608603000,17208485000,0,94323492000,NA,"25",7029949,6416895,91.2798116962121
"37","CT","connecticut",149448,2021,106761347000,29770530000,5205641000,16511000,0,0,42551460000,0,26040226000,0,791037000,6035058000,16776285000,998284000,21562279000,-1644473000,47016379000,0,0,0,45371906000,NA,"09",3605942,3110153,86.2507293513155
"38","NJ","new jersey",40624,2021,262003072072,26668000000,13172773909,417000000,1279000000,0,95235061386,614336,101605641478,0,615000000,12105245287,41729823608,190989312,43271051015,3758293186,93538816036,0,0,0,97297109222,NA,"34",9289031,8708779,93.7537369493403
"39","WY","wyoming",40122,2021,9272163993,11047303,6035179638,353388,0,0,432262923,970439,527492619,0,64129637,844961319,2557687418,8000959,4934468839,2630323172,5714795363,0,0,0,8345118535,NA,"56",576837,357750,62.017748083994
"40","HI","hawaii",71062,2021,32322093000,12160159000,3997605000,319468000,717096000,200000000,7814788000,0,6516876000,0,293786000,1594865000,8236938000,83411000,7818383000,-1626184000,19359781000,0,0,0,17733597000,NA,"15",1455273,1252450,86.0630081957244
"41","MD","maryland",149463,2021,70729931000,21512555000,11279016000,537356000,0,0,20663518000,0,15681628000,0,412144000,11140230000,26436860000,902584000,24801845000,2224808000,61056711000,231755000,192003000,0,63281519000,NA,"24",6177213,5288760,85.6170992018421
"42","VT","vermont",39343,2021,7550556312,711491377,985651963,8861948,0,0,3043700350,0,2660856831,0,44879014,839580196,4090945732,200229503,3932704623,263903362,8799556692,0,0,0,9063460054,NA,"50",643085,225850,35.1202111100226
"43","AZ","arizona",40623,2021,27669843000,6345131000,6938052000,230580000,251790000,184460000,6262883000,0,1585805000,37328000,506854000,6616822000,34277931000,731886000,21367940000,6683700000,56310879000,0,0,0,62994579000,NA,"04",7151507,6385230,89.2851599566077
"44","DE","delaware",32212,2021,19185075000,3894611000,2491186000,0,243447000,18769000,1726785000,0,9564690000,0,242235000,2374123000,4833933000,336418000,6012714000,253418000,13303770000,0,0,0,13557188000,NA,"10",989957,817817,82.6121170000849
"45","MS","mississippi",95852,2021,13476966000,4743624000,2583039000,6406000,0,1084932000,3482249000,0,176455000,0,0,2763455000,11808010000,609953000,8712382000,2054600000,21839200000,0,0,0,23893800000,NA,"28",2961288,1370790,46.2904711106248
"46","NM","new mexico",82166,2021,20216469000,3538922000,4117189000,173000,207702000,9325000,9465093000,16932000,1419224000,0,208090000,6110272000,13518524000,512388000,15573022000,8229105000,27485101000,0,0,0,35714206000,NA,"35",2117527,1578552,74.5471357558505
"47","WV","west virginia",39745,2021,13009788000,3596081000,516932000,218395000,0,0,3450088000,99169000,285156000,0,98971000,1516535000,7347681000,508221000,8564756000,1969482000,15967711000,0,0,0,17937193000,NA,"54",1793755,800857,44.647926427595
"48","CA","california",31665,2021,480810792000,109884676000,142649833000,695893000,19815357000,1577454000,94255760000,0,93951696000,0,5907133000,72682113000,271361440000,1847263000,228081965000,4954588000,569018193000,0,0,0,573972781000,NA,"06",39538245,37259490,94.2366327389068
"49","ND","north dakota",1241002,2021,10188478469,1805007000,5110750872,53251000,0,215145000,1671265000,31122000,42116000,0,93441000,2635715227,5033307761,17610105,5649540425,3504186048,9831987470,248655000,0,0,13336173518,NA,"38",779091,474989,60.9668409716928
"50","OK","oklahoma",37320,2021,0,0,0,0,0,0,0,0,0,0,0,3575443000,9908854000,-9494043000,1206810000,716970000,22793625000,0,0,0,23510595000,NA,"40",3959346,2558611,64.6219470706451
"51","FL","florida",32221,2021,76561985000,19327136000,16014011000,33577000,0,18865000,10243863000,0,7142549000,0,850110000,22737192000,65338257000,2152795000,46735056000,8930865000,128032435000,1128180000,861000,25465000,136963300000,NA,"12",21538226,19714806,91.534194591216
