"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","state.name","population"
"45","CA","fresno county",31677,2020,2161228000,356601000,257422000,2805000,278550000,0,1054510000,0,0,0,53630000,122215000,961220000,0,673796000,69499000,1687732000,0,0,0,1757231000,"06019",NA,50,"06","019",NA,"00000",0,"A","California",1008650
"46","NY","westchester county",36016,2020,6973518018,1517014912,326975944,27589106,0,75573833,498291015,0,4264402132,0,56072618,198394461,911657362,30862085,1495527673,-149014326,2785455907,0,0,0,2636441581,"36119",NA,50,"36","119",NA,"00000",0,"A","New York",1004445
"47","MO","st louis county",35117,2020,1099837660,412169399,161735874,0,6199946,126172449,324443093,0,0,0,46493765,134926496,166483913,8366235,561067735,-49411735,920256114,0,0,0,870844379,"29189",NA,50,"29","189",NA,"00000",0,"A","Missouri",1004310
"48","IN","marion county",170616,2020,873586220,0,23965076,705790781,0,1973352,114023647,0,15112759,0,9518978,58636318,47732009,0,242586009,2852747,346101589,0,0,0,348954336,"18097","city of marion",50,"18","097",NA,"00000",0,"C","Indiana",977213
"49","MD","prince georges county",189892,2020,7876190727,2603075752,553578380,98477445,0,310379185,1828515183,0,2063326398,0,87011437,367350367,141197692,10335801,1978333298,-235744323,2732961481,0,0,0,2497217158,"24033",NA,50,"24","033",NA,"00000",0,"A","Maryland",967194
"50","FL","pinellas county",32255,2020,1957358812,51969653,271625819,615497,0,76992808,710305897,0,697335520,0,70969447,563389178,189943524,37814016,767359074,116744750,1441761042,0,0,0,1558505792,"12103",NA,50,"12","103",NA,"00000",0,"A","Florida",959103
"51","GA","gwinnett county",198256,2020,1455596,701609,201771,150123,0,31352,213317,0,39204,0,37518,512892,186765,131845,865861,371828,1325535,0,0,0,1697363,"13135",NA,50,"13","135",NA,"00000",0,"A","Georgia",957027
"52","NJ","bergen county",35609,2020,1293974943,690771000,0,0,926715,0,458269025,0,1209601242,0,25906823,0,0,0,813424414,38464003,774960411,0,0,0,813424414,"34003",NA,50,"34","003",NA,"00000",0,"A","New Jersey",955746
"53","NY","erie county",35982,2020,3025657000,923393000,237233000,0,0,125000000,289687000,0,1345295000,0,33915000,136508000,499257000,16561000,1231517000,-86254000,1970097000,0,0,0,1883843000,"36029",NA,50,"36","029",NA,"00000",0,"A","New York",954244
"54","WI","milwaukee county",44624,2020,2876921000,640761000,122753000,0,0,0,594769000,0,1415115000,0,41454000,284744000,402990000,12031000,471296000,126563000,1044498000,0,0,0,1171061000,"55079",NA,50,"55","079",NA,"00000",0,"A","Wisconsin",939495
"55","IL","dupage county",32767,2020,476399747,143440102,113741366,0,3407726,0,165805602,0,13632860,0,33095659,96263008,102399031,14372550,345252989,57810450,500477128,0,0,0,558287578,"17043",NA,50,"17","043",NA,"00000",0,"A","Illinois",932877
"56","TN","shelby county",1265440,2020,1845498562,922216144,185322233,4329258,0,123200000,571656496,0,0,18933000,30558690,187907321,84996633,6099120,937532099,-93531331,1310066504,0,0,0,1216535173,"47157",NA,50,"47","157",NA,"00000",0,"A","Tennessee",929722
"57","WA","pierce county",42923,2020,758885000,401002000,91501000,0,60660000,0,74544000,25299000,87223000,0,29046000,234451000,296159000,48544000,359613000,80367000,858400000,0,0,0,938767000,"53053",NA,50,"53","053",NA,"00000",0,"A","Washington",921137
"58","CA","kern county",146252,2020,2747291000,232460000,227726000,21079000,13509000,0,1804165000,0,42679000,0,95105000,415233000,924522000,32732000,475754000,2865000,1845376000,0,0,0,1848241000,"06029",NA,50,"06","029",NA,"00000",0,"A","California",909244
"59","TX","denton county",44488,2020,920520035,622601643,74805984,0,0,45790000,43366444,0,124544261,0,9411703,28968139,139030225,581568,248564291,58625180,358519043,0,0,0,417144223,"48121",NA,50,"48","121",NA,"00000",0,"A","Texas",906405
"60","MI","macomb county",34275,2020,588170168,270690000,180814373,0,621991,0,0,84215482,110683716,0,17171117,297868605,214835524,109189878,216709710,212572108,626031609,0,0,0,838603717,"26099",NA,50,"26","099",NA,"00000",0,"A","Michigan",881219
"61","TX","hidalgo county",197572,2020,669328010,402678061,146732237,5353859,0,159799,47598461,0,47475188,0,13237379,78546730,314729988,16099585,230396747,10569745,629203305,0,0,0,639773050,"48215",NA,50,"48","215",NA,"00000",0,"A","Texas",870796
"62","TX","el paso county",38624,2020,422205749,165054091,51725969,0,4041146,0,108703516,0,48906739,0,36103511,57505746,39098782,699560,285012985,-1000356,383317429,0,0,0,382317073,"48141",NA,50,"48","141",NA,"00000",0,"A","Texas",865655
"63","NJ","middlesex county",1036493,2020,769523890,215265000,0,100830000,30485505,36478000,320097775,0,1171909109,0,0,0,0,0,689147555,18401117,670746438,0,0,0,689147555,"34023",NA,50,"34","023",NA,"00000",0,"A","New Jersey",863183
"64","NJ","essex county",43829,2020,1244720579,624040000,0,14098,7964515,43980000,0,0,0,0,0,0,0,0,1008216197,37232544,970983653,0,0,0,1008216197,"34013",NA,50,"34","013",NA,"00000",0,"A","New Jersey",862782
"65","PA","montgomery county",164478,2020,660085418,403854796,111189435,0,0,33650000,83324020,0,0,0,16333167,83486327,479387179,7772533,237735069,79833931,728547177,0,0,0,808381108,"42091",NA,50,"42","091",NA,"00000",0,"A","Pennsylvania",856559
"66","MD","baltimore county",189872,2020,8640980000,3887143000,461723000,0,4375000,350000000,1831608000,0,1696611000,0,82951000,666937000,241329000,115927000,2143604000,-305762000,3473559000,0,0,0,3167797000,"24005",NA,50,"24","005",NA,"00000",0,"A","Maryland",854554
"67","CA","ventura county",149441,2020,2147171000,28616000,476098000,328489000,11726000,180020000,677172000,0,131699000,1713000,95996000,844027000,657605000,29670000,632924000,66132000,2098094000,565376000,10342000,6687000,2164226000,"06111",NA,50,"06","111",NA,"00000",0,"A","California",843843
"68","OH","hamilton county",36884,2020,2670799000,1060334000,189713000,8150000,388663000,0,741809000,17322000,218552000,0,62610000,455413000,309024000,5029000,675543000,14989000,1430020000,0,0,0,1445009000,"39061",NA,50,"39","061",NA,"00000",0,"A","Ohio",830625
"69","WA","snohomish county",39536,2020,658828081,381579057,129803339,0,5991294,0,64783002,21308309,4929447,0,40160179,248808906,211898724,66603423,327433944,84675782,770069215,0,0,0,854744997,"53061",NA,50,"53","061",NA,"00000",0,"A","Washington",827947
"70","TX","fort bend county",38625,2020,1449434641,620942114,155833372,439067,0,2259978,47941506,0,597396893,0,16744995,57318426,96213885,258608324,347722213,155803954,604058894,0,0,0,759862848,"48157",NA,50,"48","157",NA,"00000",0,"A","Texas",822779
"71","OR","multnomah county",103191,2020,1265422000,344351000,170272000,1329000,3125000,0,581413000,0,121091000,0,32855000,299879000,434998000,27782000,610417000,15237000,1357839000,1036000,29000,0,1373076000,"41051",NA,50,"41","051",NA,"00000",0,"A","Oregon",815429
"72","OK","oklahoma county",159854,2020,407711309,21880000,8640274,10244403,0,0,11866832,0,341340034,0,5925133,33966681,15055577,52826778,99308737,57914099,143243674,0,0,0,201157773,"40109",NA,50,"40","109",NA,"00000",0,"A","Oklahoma",796567
"73","KY","jefferson county",115965,2020,2335363514,494297000,84027033,20314000,20000000,0,1158168356,0,295693343,0,22025000,70530441,135523018,16039050,767468680,21031369,968529820,0,0,0,989561189,"21111","metro government of louisville-jefferson county",50,"21","111",NA,"00000",0,"C","Kentucky",782956
"74","CA","san joaquin county",31712,2020,2227446646,7897000,257288477,14824000,0,1276000,1584683469,0,129969434,0,42274000,581697872,770401571,27607558,379521542,75020848,1684207695,0,0,0,1759228543,"06077",NA,50,"06","077",NA,"00000",0,"A","California",779227
"75","GA","cobb county",1266590,2020,1816539766,539334939,201495859,3757585,0,167017301,667140390,0,178505026,0,36493230,353971738,97906748,87009233,685250753,140615534,1083522938,0,0,0,1224138472,"13067",NA,50,"13","067",NA,"00000",0,"A","Georgia",766160
"76","CA","san mateo county",31714,2020,1979736000,570202000,577795000,0,0,2207000,582014000,0,93292000,0,88988000,670556000,588692000,4585000,938071000,276434000,1925470000,0,0,0,2201904000,"06081",NA,50,"06","081",NA,"00000",0,"A","California",764432
"77","GA","dekalb county",32445,2020,2814715000,927169000,235264000,0,73198000,0,845083000,0,611429000,0,43539000,416587000,136124000,36389000,639157000,38444000,1189813000,0,0,0,1228257000,"13089",NA,50,"13","089",NA,"00000",0,"A","Georgia",764386
"78","FL","lee county",32242,2020,2530890000,736809000,204592000,12492000,11000000,94026000,585079000,0,807852000,0,33546000,483973000,154535000,66230000,594285000,17236000,1281787000,0,0,0,1299023000,"12071",NA,50,"12","071",NA,"00000",0,"A","Florida",760820
