"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","census_name","state.name","population","Median_Household_Income_2021"
"70","GA","albany","11204700100000",32473,2022,214959393,2715000,54480122,0,0,15833401,75801323,0,40083453,0,6364094,181062305,17131431,33613608,44535330,32166772,244175902,17769073,0,0,276342674,"1301052","city of albany",162,"13","000","01052","00000",0,"A","albany city","Georgia",69652,38999
"71","GA","woodstock","11202800500000",54804,2022,34661171,21625288,6612286,0,0,713350,4191880,0,0,0,868633,15541391,10258537,11289582,20660544,21669326,36080728,9314718,0,2441443,57750054,"1384176","city of woodstock",162,"13","000","84176","00000",0,"A","woodstock city","Georgia",35099,NA
"72","GA","chattahoochee hills","11206010400000",70777,2022,1737400,0,994255,0,0,687971,0,0,0,0,55174,865724,273869,764760,4282737,715325,5471765,0,0,0,6187090,"1315552","city of chattahoochee hills",162,"13","000","15552","00000",0,"A","chattahoochee hills city","Georgia",2948,NA
"73","GA","east ellijay","11206100100000",70824,2022,73159,0,73159,0,0,0,0,508164,0,0,0,380683,88553,198780,1422326,316952,1773390,0,0,0,2090342,"1325356","city of east ellijay",162,"13","000","25356","00000",0,"A","east ellijay city","Georgia",646,NA
"74","GA","gordon","11215800300000",70844,2022,676177,0,637344,0,0,0,38833,0,0,0,0,613949,249424,199863,1698128,196454,2564910,0,0,0,2761364,"1333980","city of gordon",162,"13","000","33980","00000",0,"A","gordon city","Georgia",1777,NA
"75","GA","hiram","11211000200000",70861,2022,1995121,0,1301263,0,0,0,33501,0,0,0,129435,830823,90232,1668343,4004756,1500548,5093606,0,0,0,6594154,"1339076","city of hiram",162,"13","000","39076","00000",0,"A","hiram city","Georgia",4925,NA
"76","GA","avondale estates","11204400100000",96444,2022,1903968,431544,267415,0,0,0,1068773,0,0,0,136236,1510846,972210,606036,3576946,2369639,4296399,131770,0,0,6666038,"1304644","city of avondale estates",162,"13","000","04644","00000",0,"A","avondale estates city","Georgia",3565,NA
"77","GA","east dublin","11208700500000",70823,2022,3159771,2783060,285417,0,0,58345,0,0,0,0,32949,1458920,127719,506392,1470445,385461,3178015,976168,0,0,3563476,"1325300","city of east dublin",162,"13","000","25300","00000",0,"A","east dublin city","Georgia",2492,NA
"78","GA","powder springs","11203300500000",70947,2022,21114642,14638490,5655456,0,0,0,8584,0,598296,0,213816,4261787,413037,4603179,9468517,2522243,16224277,0,0,0,18746520,"1362524","city of powder springs",162,"13","000","62524","00000",0,"A","powder springs city","Georgia",16900,NA
"79","GA","fayetteville","11205600100000",64806,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512165100,0,0,0,0,0,1512165100,"1328968","city of fayetteville",162,"13","000","28968","00000",0,"A","fayetteville city","Georgia",18945,NA
